"","Site","Year","riparianForest350","riparianScrub350","natural350","riparianForest1000","riparianScrub1000","natural1000","riparianForest2500","riparianScrub2500","natural2500"
"1871","MullerB",2006,0,16242.7182437987,16242.7182437987,0,60618.9080126453,60618.9080126453,0,78275.998340301,78275.998340301
"1894","MullerB",2007,0,16242.7182437987,16242.7182437987,0,60618.9080126453,60618.9080126453,0,78275.998340301,78275.998340301
"2035","MullerB",2008,0,16242.7182437987,16242.7182437987,0,60618.9080126453,60618.9080126453,0,78275.998340301,78275.998340301
"2142","MullerB",2009,0,16242.7182437987,16242.7182437987,0,60618.9080126453,60618.9080126453,0,78275.998340301,78275.998340301
"2211","Butler",2006,65.3475185862919,833.089088192634,898.436606778926,7577.3475398845,17780.6506851188,25357.9982250033,13230.7926530603,26373.7169189685,39604.5095720287
"2238","Sperandio",2007,4358.80914923847,4731.83714983591,9090.64629907439,57389.4365154787,15806.4546583145,73195.8911737933,87549.7673689071,19065.0809420924,106614.848310999
"2272","Sperandio",2008,4358.80914923847,4731.83714983591,9090.64629907439,57389.4365154787,15806.4546583145,73195.8911737933,87549.7673689071,19065.0809420924,106614.848310999
"2321","Sperandio",2009,4358.80914923847,4731.83714983591,9090.64629907439,57389.4365154787,15806.4546583145,73195.8911737933,87549.7673689071,19065.0809420924,106614.848310999
"2351","Spiva",2007,4979.8261949778,2537.116678165,7516.9428731428,29788.3390830145,13375.6081568246,43163.947239839,43799.7142895789,17430.8155871814,61230.5298767603
"2406","Spiva",2008,4979.8261949778,2537.116678165,7516.9428731428,29788.3390830145,13375.6081568246,43163.947239839,43799.7142895789,17430.8155871814,61230.5298767603
"2451","Spiva",2009,4979.8261949778,2537.116678165,7516.9428731428,29788.3390830145,13375.6081568246,43163.947239839,43799.7142895789,17430.8155871814,61230.5298767603
"2475","Turkovich",2006,0,0,0,0,0,0,0,0,0
"2525","Turkovich",2007,0,0,0,0,0,0,0,0,0
"2602","Turkovich",2008,0,0,0,0,0,0,0,0,0
"2686","Turkovich",2009,0,0,0,0,0,0,0,0,0
"2740","USS",2006,107.195631784129,9073.86270032103,9181.05833210515,1814.44585672556,42229.0623774037,44043.5082341293,2538.83957522158,54977.5605832176,57516.4001584392
"2782","USS",2007,107.195631784129,9073.86270032103,9181.05833210515,1814.44585672556,42229.0623774037,44043.5082341293,2538.83957522158,54977.5605832176,57516.4001584392
"2831","USS",2008,107.195631784129,9073.86270032103,9181.05833210515,1814.44585672556,42229.0623774037,44043.5082341293,2538.83957522158,54977.5605832176,57516.4001584392
"2906","USS",2009,107.195631784129,9073.86270032103,9181.05833210515,1814.44585672556,42229.0623774037,44043.5082341293,2538.83957522158,54977.5605832176,57516.4001584392
"2929","Barger",2011,14.2764578137721,295.112832927471,309.389290741243,1655.42142737373,1548.64649767166,3204.06792504539,2890.5283205934,1881.24463035989,4771.77295095329
"2964","BC2",2011,6538.77262402204,1278.76133284971,7817.53395687175,11180.7507071426,109526.636831953,120707.387539095,12150.7416809853,188946.765394185,201097.50707517
"2997","Butler",2011,0,0,0,0,0,0,0,0,0
"3038","Chamberlain",2011,2513.85204900835,1045.23312588439,3559.08517489274,11273.9212869741,13938.170690184,25212.0919771581,15375.2234744661,20868.8184397352,36244.0419142013
"3052","DQU",2011,0,0,0,0,0,0,0,0,0
